_time,_value,_field,_measurement,day,month,station,year
2023-07-14 19:00:00+00:00,37.8,max_wind_speed,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,28.6,maximum_temperature,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,25.9,mean_temperature,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,9.1,mean_wind_speed,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,23.5,minimum_temperature,Daily Weather Conditions,12,10,Admiralty,2022
2023-07-14 19:00:00+00:00,7.8,daily_rainfall_total,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,5.6,highest_120min_rainfall,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,1.8,highest_30min_rainfall,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,3.4,highest_60min_rainfall,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,30.9,max_wind_speed,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,30.7,maximum_temperature,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,25.8,mean_temperature,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,6.7,mean_wind_speed,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,24.4,minimum_temperature,Daily Weather Conditions,12,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,19.4,max_wind_speed,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,29.6,maximum_temperature,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,26.5,mean_temperature,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,6.7,mean_wind_speed,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,24.0,minimum_temperature,Daily Weather Conditions,12,12,Admiralty,2022
2023-07-14 19:00:00+00:00,87.6,daily_rainfall_total,Daily Weather Conditions,12,2,Admiralty,2023
2023-07-14 19:00:00+00:00,70.8,highest_120min_rainfall,Daily Weather Conditions,12,2,Admiralty,2023
2023-07-14 19:00:00+00:00,57.6,highest_30min_rainfall,Daily Weather Conditions,12,2,Admiralty,2023
2023-07-14 19:00:00+00:00,65.6,highest_60min_rainfall,Daily Weather Conditions,12,2,Admiralty,2023
