_time,_value,_field,_measurement,device_id,device_name,type,unit
2023-06-26 12:00:00+00:00,0.86,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 13:00:00+00:00,0.98,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 14:00:00+00:00,1.0,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 15:00:00+00:00,0.94,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 16:00:00+00:00,0.89,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 17:00:00+00:00,0.89,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 18:00:00+00:00,0.98,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 19:00:00+00:00,392.3,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 20:00:00+00:00,392.42,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 21:00:00+00:00,392.31,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 22:00:00+00:00,392.47,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-26 23:00:00+00:00,392.48,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 00:00:00+00:00,392.26,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 01:00:00+00:00,392.3,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 02:00:00+00:00,392.27,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 03:00:00+00:00,392.42,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 04:00:00+00:00,392.36,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 05:00:00+00:00,392.24,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 06:00:00+00:00,392.13,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 07:00:00+00:00,0.8,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 08:00:00+00:00,0.97,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 09:00:00+00:00,0.95,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 10:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 11:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 12:00:00+00:00,0.77,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 13:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 14:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 15:00:00+00:00,0.82,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 16:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 17:00:00+00:00,0.86,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 18:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 19:00:00+00:00,392.19,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 20:00:00+00:00,392.45,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 21:00:00+00:00,392.43,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 22:00:00+00:00,392.53,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-27 23:00:00+00:00,392.38,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 00:00:00+00:00,392.28,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 01:00:00+00:00,392.48,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 02:00:00+00:00,392.35,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 03:00:00+00:00,392.13,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 04:00:00+00:00,392.03,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 05:00:00+00:00,392.18,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 06:00:00+00:00,391.96,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-28 07:00:00+00:00,0.94,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
